sample_id	date	precision
G3757-5	2014-06-19	precise
G3769-5	2014-06-28	precise
G3789-3	2014-06-19	precise
G3789-7	2014-06-28	precise
G3794-3	2014-06-23	precise
G3797-2	2014-06-19	precise
G3797-3	2014-06-27	precise
G3799-2	2014-06-23	precise
G3805-3	2014-06-20	precise
G3808-2	2014-06-24	precise
G3809-2	2014-06-23	precise
G3810-4	2014-06-20	precise
G3811-2	2014-06-20	precise
G3811-2	2014-07-08	precise
G3811-2	2014-06-23	precise
G3814-2	2014-06-20	precise
G3817-2	2014-06-20	precise
G3821-2	2014-06-20	precise
G3821-3	2014-06-23	precise
G3821-5	2014-07-08	precise
G3838-2	2014-06-20	precise
G3840-2	2014-06-20	precise
G3845-2	2014-06-20	precise
G3850-2	2014-06-23	precise
G3851-2	2014-06-20	precise
G3851-4	2014-06-27	precise
G3855-2	2014-06-20	precise
G3862-2	2014-06-23	precise
G3869-2	2014-07-14	precise
G3873-2	2014-06-20	precise
G3875-2	2014-06-30	precise
G3880-3	2014-06-28	precise
G3881-2	2014-06-23	precise
G3881-3	2014-06-27	precise
G3881-6	2014-07-08	precise
G3882-2	2014-06-28	precise
G3882-4	2014-07-04	precise
G3884-1	2014-06-19	precise
G3886-1	2014-06-19	precise
G3889-1	2014-06-19	precise
G3889-2	2014-06-23	precise
G3890-1	2014-06-20	precise
G3891-1	2014-06-20	precise
G3892-1	2014-06-20	precise
G3892-2	2014-07-08	precise
G3893-1	2014-06-20	precise
G3894-1	2014-06-20	precise
G3895-1	2014-06-20	precise
G3896-1	2014-06-20	precise
G3900-1	2014-06-20	precise
G3900-3	2014-06-27	precise
G3901-2	2014-06-23	precise
G3906-1	2014-06-21	precise
G3906-2	2014-06-30	precise
G3907-1	2014-06-21	precise
G3907-2	2014-06-30	precise
G3907-3	2014-07-05	precise
G3907-4	2014-07-08	precise
G3908-1	2014-06-21	precise
G3909-1	2014-06-21	precise
G3909-2	2014-06-23	precise
G3910-1	2014-06-21	precise
G3910-2	2014-06-30	precise
G3910-3	2014-07-14	precise
G3911-1	2014-06-21	precise
G3911-4	2014-07-04	precise
G3911-5	2014-07-08	precise
G3913-1	2014-06-21	precise
G3913-3	2014-06-28	precise
G3915-1	2014-06-21	precise
G3915-2	2014-06-30	precise
G3917-1	2014-06-21	precise
G3926-2	2014-06-24	precise
G3934-2	2014-06-28	precise
G3935-2	2014-06-30	precise
G3936-1	2014-06-23	precise
G3936-2	2014-06-30	precise
G3936-3	2014-07-07	precise
G3937-1	2014-06-23	precise
G3938-3	2014-07-04	precise
G3939-1	2014-06-23	precise
G3940-1	2014-06-23	precise
G3943-1	2014-06-23	precise
G3949	2014-06-23	precise
G3950	2014-06-23	precise
G3951	2014-06-24	precise
G3951-2	2014-06-28	precise
G3952	2014-06-24	precise
G3952-2	2014-07-07	precise
G3953	2014-06-24	precise
G3958	2014-06-24	precise
G3958-2	2014-06-30	precise
G3958-3	2014-07-04	precise
G3962	2014-06-24	precise
G3962-2	2014-07-05	precise
G3962-3	2014-07-08	precise
G3966	2014-06-24	precise
G3972	2014-06-25	precise
G3973-3	2014-06-28	precise
G3974	2014-06-25	precise
G3984	2014-06-26	precise
G3991-2	2014-07-04	precise
G3991-3	2014-07-14	precise
G3997-1	2014-07-16	precise
G3997-2	2014-07-12	precise
G4008	2014-07-04	precise
G4008-2	2014-07-08	precise
G4010	2014-06-28	precise
G4010-3	2014-07-14	precise
G4011	2014-06-28	precise
G4024-2	2014-07-14	precise
G4028	2014-07-08	precise
G4028-4	2014-07-14	precise
G4032-2	2014-07-04	precise
G4033-2	2014-06-28	precise
G4033-3	2014-07-14	precise
G4034-2	2014-07-12	precise
G4034-3	2014-07-05	precise
G4073	2014-06-30	precise
G4074	2014-07-04	precise
G4079	2014-07-04	precise
G4086	2014-07-04	precise
G4086-2	2014-07-05	precise
G4086-3	2014-07-14	precise
G4088	2014-07-04	precise
G4088-2	2014-07-05	precise
G4088-3	2014-07-08	precise
G4088-4	2014-07-14	precise
G4095-2	2014-07-05	precise
G4095-3	2014-07-08	precise
G4096	2014-07-04	precise
G4097	2014-07-04	precise
G4105	2014-07-04	precise
G4110	2014-07-04	precise
G4110-2	2014-07-07	precise
G4116	2014-07-05	precise
G4118	2014-07-05	precise
G4121	2014-07-07	precise
G4121-2	2014-07-08	precise
G4122	2014-07-07	precise
G4124	2014-07-07	precise
G4125	2014-07-07	precise
G4127-2	2014-07-04	precise
G4131	2014-07-05	precise
G4132	2014-07-05	precise
G4133	2014-07-05	precise
G4135	2014-07-05	precise
G4141	2014-07-07	precise
G4144	2014-07-07	precise
G4146	2014-07-08	precise
G4147	2014-07-08	precise
G4150	2014-07-07	precise
G4151	2014-07-09	precise
G4187	2014-07-08	precise
G4188	2014-07-08	precise
G4190	2014-07-08	precise
G4192	2014-07-08	precise
G4193	2014-07-08	precise
G4200	2014-07-08	precise
G4201	2014-07-08	precise
G4202	2014-07-08	precise
G4204	2014-07-08	precise
